Name,Slug,is_featured,city,state,services_provided,url,description,display_order,is_custom,is_active
Michigan Elvis Presley Fan Club,,,,,Logo Design,,I created this logo for the Michigan Elvis Presley Fan Club. It incorporates the map of Michigan with a silhouette of Elvis within the state. The logo uses a typeface that incorporates the look and feel of the Elvis era.,,,1
Red Pine Pottery & Twigs,,,Ortonville,MI,Web Design,http://redpinepotteryandtwigs.com,"Red Pine Pottery & Twigs is a studio in Ortonville, MI operated by Susan Kolb. For the website, I used an existing flyer to recreate a familiar look and feel that customers were already used to. The site offers information and pictures of the work that Susan has done.",,,1
Show Your Support for Breast Cancer Awareness,,,,,Logo Design,,I co-created this logo with Katie Tackaberry. It was later used for sale of t-shirts where the proceeds were put towards Breast Cancer Awareness.,,,1
Pure Relaxation Massage,,,,,"Web Design, Logo Design, Web Maintenance",,"<p>I created this logo for Pure Relaxation Massage. It uses clean and elegant lines that give the feeling of sophistication. The typeface used with the logo reflects this same feeling.</p><p>I also created the company's first website. The site recreated the sense of sophistication conveyed in the logo. Eventually, the company outgrew my services and set forth on their own.</p>",,,1
"Susan M. Kolb, MA - Limited Licensed Psychologist",,,,,Web Design,,"<p>This is a single page website that I did for Susan M. Kolb, a limited licensed psychologist. Like her site for Red Pine Pottery &amp; Twigs, I also designed this site based on an existing flyer. The simple site allows customers to get quick information.</p>",,,1
"Rob Schroeder - Maintenance, Repair & Paint",,,Goodrich,MI,Web Design,,"This is a single page website tha I made for Rob Schroeder, a handyman located in Southern Genesee County, MI. Because of his love for cars, I used Ferrari red in the design of the site. I also replicated the design of his business card into the header of the website.",,,1
Respiratory Card Club of Ferris State University,,,Big Rapids,MI,Logo Design,,"When the Respiratory Card Club of Ferris State University was creating merchandise for their group, they commissioned me to create the logo. This logo is a simple and professional reflection of the hard work they put into their studies.",,,1
Oxford Plumbing & Heating Air Vac Furnace Company,,,Oxford,MI,Web Design,,I created this website for Oxford Plumbing & Heating Air Vac Furnace Company. This project required working with both the client and a content writer to help create the site. Colors on the website pop while still delivering the information needed.,,,1
Vicksburg Family Dentistry,,,Vicksburg,MI,"Web Design, Web Maintenance",http://vicksburgfamilydentistry.com,"This is a website that I designed for Vicksburg Family Dentistry. The site is fully responsive so that it works on all devices, and was built on Wordpress so that the client can changes and update everything without any coding knowledge. Borrowing from some of the principles of Google's Material Design,  I used flat design and depth together.",3,,1
Clarkston Area Chamber of Commerce,,1,Clarkston,MI,Logo Design,,"<p>For the Clarkston Area Chamber of Commerce, I created not only a new logo, but also a full brand package for them. I featured the clock from the old logo: a landmark located downtown, updated the design with cleaner lines and an overall more modern look. I chose a new typeface to be used across the board. I used blue because it conveys reliability, while the orange is inviting and energetic. After discovering a multicolored wall in the chamber office, I used the tones from the wall to create all colors used in the logos.</p>
<p>All the logos keep a similar motif with varying levels in the words with the image of the logo on the left. This consistent look makes the logos instantly recognizable as a chamber event or activity.</p>",1,1,1
Alchin's Disposal,,1,Fowlerville,MI,"Web Design, Web Maintenance, Logo Renovation",http://www.alchinsdisposal.com,"<p>I redesigned the website for Alchin's Disposal to take advantage of new technologies and new design trends. The new website uses bolder colors and takes advantage of white space to fill the screen in a fresh and inviting way. The logo renovation helps build the brand of the company while also bringing something more unique to the table. The website, of course, is responsive and works on all devices.</p>
<p>Starting with a clear and concise style guide, I was able to quickly build out the website and exceed the client's expectations. Keeping with the vision of the style guide, change requests by the client could quickly be applied.</p>",2,,1
Brewing 4 Business,,1,Waterford,MI,"Logo Design, Flyer Design",,"<p>This is a logo and flyer for the Brewing 4 Business networking event between the Clarkston Area Chamber of Commerce and Waterford Chamber of Commerce. The event featured breweries, beer samples, and food.</p>
<p>Both the logo and flyer utilize the same typefaces and color scheme. The logo was utilized for banners and some event promotions. The flyer would be used for mail flyers and online promotions.<p>
<p>5inallDesign was a featured sponsor in return for creating the logo.</p>",5,,1
