Path,Type,is_featured,short_description,description,client_id,client_name,client_slug,display_order,hover_img,2x_path,3x_path
/img/samples/purerelaxationmassage-logo.jpg,logo,1,Logo for Pure Relaxation Massage,,,Pure Relaxation Massage,,,,,
/img/samples/purerelaxationmassage.jpg,web,,Website for Pure Relaxation Massage,,,Pure Relaxation Massage,,,,,
/img/samples/purerelaxationmassage2.jpg,web,,Website for Pure Relaxation Massage,,,Pure Relaxation Massage,,,,,
/img/samples/smkolb.jpg,web,1,"Website for Susan M. Kolb, MA - Limited Licensed Psychologist",,,"Susan M. Kolb, MA - Limited Licensed Psychologist",,,,,
/img/samples/robschroeder.jpg,web,1,"Website for Rob Schroeder - Maintenance, Repair & Paint",,,"Rob Schroeder - Maintenance, Repair & Paint",,,,,
/img/samples/respiratorycareclub-logo.jpg,logo,1,Logo for Respiratory Card Club of Ferris State University,,,Respiratory Card Club of Ferris State University,,,,,
/img/samples/ophavco1.jpg,web,1,Website for Oxford Plumbing & Heating Air Vac Furnace Company,,,Oxford Plumbing & Heating Air Vac Furnace Company,,,,,
/img/samples/ophavco2.jpg,web,,Website for Oxford Plumbing & Heating Air Vac Furnace Company,,,Oxford Plumbing & Heating Air Vac Furnace Company,,,,,
/img/samples/vicksburgfamilydentistry1.jpg,web,1,Website for Vicksburg Family Dentistry,,,Vicksburg Family Dentistry,,3,,,
/img/samples/vicksburgfamilydentistry2.jpg,web,,Website for Vicksburg Family Dentistry,,,Vicksburg Family Dentistry,,4,,,
/img/samples/vicksburgfamilydentistry-mockup1.jpg,web,,Website for Vicksburg Family Dentistry,,,Vicksburg Family Dentistry,,2,1,,
/img/samples/vicksburgfamilydentistry-mockup2.jpg,web,,Website for Vicksburg Family Dentistry,,,Vicksburg Family Dentistry,,1,,,
/img/samples/clarkston-chamber-of-commerce1.jpg,logo,1,Logo for Clarkston Area Chamber of Commerce,,,Clarkston Area Chamber of Commerce,,1,,,
/img/samples/clarkston-chamber-of-commerce-mockup1.jpg,logo,,Logo for Clarkston Area Chamber of Commerce,,,Clarkston Area Chamber of Commerce,,2,1,/img/samples/clarkston-chamber-of-commerce-mockup1@2x.jpg,
/img/samples/clarkston-chamber-of-commerce-additional1.jpg,logo,,Additional Logos for the Clarkston Area Chamber of Commerce,,,Clarkston Area Chamber of Commerce,,3,,,
/img/samples/clarkston-chamber-of-commerce-additional2.jpg,logo,,Additional Logos for the Clarkston Area Chamber of Commerce,,,Clarkston Area Chamber of Commerce,,4,,,
/img/samples/clarkston-chamber-of-commerce-mockup2.jpg,logo,,Logos used in flyers for Clarkston Area Chamber of Commerce events,,,Clarkston Area Chamber of Commerce,,5,,,
/img/samples/alchinsdisposal1.jpg,,1,Website for Alchin's Disposal,,,Alchin's Disposal,,2,,,
/img/samples/alchinsdisposal2.jpg,,,Website for Alchin's Disposal,,,Alchin's Disposal,,3,,,
/img/samples/alchinsdisposal-mockup1.jpg,,,Website for Alchin's Disposal,,,Alchin's Disposal,,1,,/img/samples/alchinsdisposal-mockup1@2x.jpg,
/img/samples/alchinsdisposal-mockup2.jpg,,,Website for Alchin's Disposal,,,Alchin's Disposal,,4,1,/img/samples/alchinsdisposal-mockup2@2x.jpg,
/img/samples/brewing-4-business1.jpg,,1,Flyer for Brewing 4 Business,,,Brewing 4 Business,,2,,/img/samples/brewing-4-business1@2x.jpg,
/img/samples/brewing-4-business-mockup1.jpg,,,Mockup for Brewing 4 Business,,,Brewing 4 Business,,1,1,/img/samples/brewing-4-business-mockup1@2x.jpg,
/img/samples/brewing-4-business2.jpg,,,Logo for Brewing 4 Business,,,Brewing 4 Business,,3,,/img/samples/brewing-4-business2@2x.jpg,
/img/samples/brewing-4-business3.jpg,,,Flyer for Brewing 4 Business,,,Brewing 4 Business,,4,,/img/samples/brewing-4-business3@2x.jpg,
